name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc,userdata,pics
"001-OttoBallod",001,AR,3801.767S,06008.133W,194.0m,2,13,1500.0m,"123.0","Home Field, Finish",,
"002-CuatroEsquinas",002,AR,3804.298S,06002.660W,204.0m,1,,,,"Turn Point, Start",,
"003-EciaElBagual",003,AR,3758.265S,06005.079W,200.0m,1,,,,"Turn Point, Start",,
"004-EciaLasLomas",004,AR,3807.403S,06004.315W,187.0m,1,,,,"Turn Point, Start",,
"005-LagdelCorazon",005,AR,3803.868S,06011.189W,179.0m,1,,,,"Turn Point, Start",,
"006-PtedeMadera",006,AR,3758.934S,06009.539W,190.0m,1,,,,"Turn Point, Start",,
"007-Rot Este",007,AR,3803.300S,06003.867W,190.0m,1,,,,"Turn Point, Start",,
"008-PteElMojon",008,AR,3803.264S,06014.144W,174.0m,1,,,,"Turn Point, Start",,
"009ArroyoCorto",009,AR,3730.700S,06218.517W,272.0m,1,,,,"Turn Point",,
"010AccIndio Rico",010,AR,3813.784S,06048.075W,148.0m,1,,,,"Turn Point",,
"011AeroAzul",011,AR,3650.227S,05952.881W,148.0m,2,35,1350.0m,"123.5","Turn Point",,
"012AeroJuárez",012,AR,3742.366S,05947.525W,214.0m,2,360,1200.0m,"123.5","Turn Point",,
"013AeroLaprida",013,AR,3731.233S,06046.793W,213.0m,2,220,1200.0m,"123.5","Turn Point",,
"014AeroSanCayetano",014,AR,3820.047S,05937.826W,98.0m,2,80,1200.0m,"123.5","Turn Point",,
"015Alzaga",015,AR,3751.589S,05958.346W,198.0m,1,,,,"Turn Point",,
"016Aparicio",016,AR,3837.333S,06053.100W,109.0m,1,,,,"Turn Point",,
"017ArrCrist MtoCam",017,AR,3809.383S,05953.217W,232.0m,1,,,,"Turn Point",,
"018ArroyoLosHuesos",018,AR,3701.224S,05933.777W,178.0m,1,,,,"Turn Point",,
"019Azucena",019,AR,3729.467S,05917.650W,225.0m,1,,,,"Turn Point",,
"020Balanza",020,AR,3806.149S,06012.963W,168.0m,1,,,,"Turn Point",,
"021Balcarce",021,AR,3750.000S,05815.767W,111.0m,1,,,,"Turn Point",,
"022Barker",022,AR,3738.283S,05923.383W,141.0m,1,,,,"Turn Point",,
"023Barrow",023,AR,3818.791S,06013.874W,122.0m,1,,,,"Turn Point",,
"024Bordenave",024,AR,3748.209S,06302.336W,209.0m,1,,,,"Turn Point",,
"025Bunge",025,AR,3734.412S,06008.247W,229.0m,1,,,,"Turn Point",,
"026Molina",026,AR,3805.400S,06020.933W,167.0m,1,,,,"Turn Point",,
"027CPTandil",027,AR,3720.925S,05859.128W,190.0m,2,34,800.0m,"123.5","Turn Point",,
"028CPTres Arroyos",028,AR,3823.163S,06019.366W,114.0m,2,320,1200.0m,"123.5","Turn Point",,
"029Cabildo",029,AR,3828.650S,06153.483W,159.0m,1,,,,"Turn Point",,
"030Cascallares",030,AR,3829.750S,06027.967W,106.0m,1,,,,"Turn Point",,
"031Cerro3Picos",031,AR,3809.601S,06157.161W,1145.0m,1,,,,"Turn Point",,
"032CerroCuramaral",032,AR,3743.341S,06214.030W,994.0m,1,,,,"Turn Point",,
"033Chillar",033,AR,3718.717S,05958.683W,161.0m,1,,,,"Turn Point",,
"034Claraz",034,AR,3753.633S,05917.117W,156.0m,1,,,,"Turn Point",,
"035Dorrego",035,AR,3843.170S,06117.124W,109.0m,1,,,,"Turn Point",,
"036CnelSuarez",036,AR,3727.635S,06155.927W,239.0m,1,,,,"Turn Point",,
"037Crotto",037,AR,3633.250S,06010.167W,120.0m,1,,,,"Turn Point",,
"038CruceCamino",038,AR,3804.783S,05947.050W,189.0m,1,,,,"Turn Point",,
"039CruceR228r73",039,AR,3826.217S,06009.483W,108.0m,1,,,,"Turn Point",,
"040CruceR51r76",040,AR,3725.583S,06104.164W,198.0m,1,,,,"Turn Point",,
"041Crucer86r80",041,AR,3808.200S,05914.286W,115.0m,1,,,,"Turn Point",,
"042Darregueira",042,AR,3741.251S,06309.197W,200.0m,1,,,,"Turn Point",,
"043DeFerrari",043,AR,3818.100S,05923.483W,105.0m,1,,,,"Turn Point",,
"044DeLaGarma",036,AR,3757.850S,06024.567W,186.0m,1,,,,"Turn Point",,
"045Descalzi",045,AR,3826.483S,06059.000W,150.0m,1,,,,"Turn Point",,
"04616deJulio",046,AR,3712.100S,06010.167W,225.0m,1,,,,"Turn Point",,
"047D'Orbigny",047,AR,3740.435S,06142.522W,268.0m,1,,,,"Turn Point",,
"048Ducos",048,AR,3727.217S,06225.250W,242.0m,1,,,,"Turn Point",,
"049Dufaur",049,AR,3756.767S,06217.183W,315.0m,1,,,,"Turn Point",,
"050Durañona",050,AR,3715.467S,06030.167W,220.0m,1,,,,"Turn Point",,
"051EciaAcelain",051,AR,3715.624S,05937.449W,251.0m,1,,,,"Turn Point",,
"052EciaElAlamo",052,AR,3749.765S,05924.752W,227.0m,1,,,,"Turn Point",,
"053EciaLasPraderas",053,AR,3812.913S,06026.674W,172.0m,1,,,,"Turn Point",,
"054EciaQuillauquen",054,AR,3729.272S,06029.478W,232.0m,1,,,,"Turn Point",,
"055ElDivisorio",055,AR,3819.000S,06126.567W,296.0m,1,,,,"Turn Point",,
"056ElFachinal",056,AR,3751.296S,06039.896W,186.0m,1,,,,"Turn Point",,
"057ElLuchador",057,AR,3719.223S,06017.582W,239.0m,1,,,,"Turn Point",,
"058ElMauleon",058,AR,3743.501S,06033.119W,201.0m,1,,,,"Turn Point",,
"059ElPensamiento",059,AR,3813.037S,06118.749W,328.0m,1,,,,"Turn Point",,
"060ElZorro",060,AR,3833.250S,06105.000W,170.0m,1,,,,"Turn Point",,
"061EmpalmeQuerandies",061,AR,3700.654S,06023.627W,187.0m,1,,,,"Turn Point",,
"062Escuela22",062,AR,3804.024S,05952.419W,174.0m,1,,,,"Turn Point",,
"063Escuela18",063,AR,3753.323S,06003.123W,205.0m,1,,,,"Turn Point",,
"064Escuelita",064,AR,3759.219S,05955.092W,188.0m,1,,,,"Turn Point",,
"065Espartillar",065,AR,3721.600S,06226.064W,216.0m,1,,,,"Turn Point",,
"066Estomba",066,AR,3820.952S,06148.206W,217.0m,1,,,,"Turn Point",,
"067FabricaMilitar",067,AR,3700.191S,05945.010W,194.0m,1,,,,"Turn Point",,
"069FelipeSola",069,AR,3800.682S,06249.093W,243.0m,1,,,,"Turn Point",,
"070Fulton",070,AR,3725.103S,05848.144W,142.0m,1,,,,"Turn Point",,
"071GarciadelRio",071,AR,3821.789S,06212.325W,234.0m,1,,,,"Turn Point",,
"072Gardey",072,AR,3717.633S,05921.717W,173.0m,1,,,,"Turn Point",,
"073Gaviña",073,AR,3726.683S,06002.083W,238.0m,1,,,,"Turn Point",,
"074GeneralLaMadrid",074,AR,3715.333S,06115.867W,171.0m,1,,,,"Turn Point",,
"075Guisasola",075,AR,3840.317S,06105.000W,121.0m,1,,,,"Turn Point",,
"076Hinojo",076,AR,3651.767S,06009.617W,150.0m,1,,,,"Turn Point",,
"077IndioRico",077,AR,3819.663S,06053.503W,141.0m,1,,,,"Turn Point",,
"078Iraola",078,AR,3715.590S,05854.775W,138.0m,1,,,,"Turn Point",,
"079Irene",079,AR,3833.250S,06041.567W,100.0m,1,,,,"Turn Point",,
"080JasintoAraoz",080,AR,3805.443S,06325.725W,161.0m,1,,,,"Turn Point",,
"081JuanEBarra",081,AR,3749.283S,06028.817W,197.0m,1,,,,"Turn Point",,
"082JuanFernández",082,AR,3800.567S,05915.700W,135.0m,1,,,,"Turn Point",,
"083Krabbe",083,AR,3747.300S,06108.467W,215.0m,1,,,,"Turn Point",,
"084LaArgentina",084,AR,3755.146S,06031.640W,191.0m,1,,,,"Turn Point",,
"085LaColina",085,AR,3721.568S,06132.521W,197.0m,1,,,,"Turn Point",,
"086LaDulce",086,AR,3816.717S,05912.550W,98.0m,1,,,,"Turn Point",,
"087LaFlorentina",087,AR,3748.977S,06051.053W,194.0m,1,,,,"Turn Point",,
"088LaNegra",088,AR,3747.667S,05919.000W,178.0m,1,,,,"Turn Point",,
"089LaNumancia",089,AR,3743.486S,05905.583W,219.0m,1,,,,"Turn Point",,
"090LaSortija",090,AR,3806.664S,06041.327W,167.0m,1,,,,"Turn Point",,
